title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title
Employment statistics - individuals by region,Employment statistics relating to individuals based on region.,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"area outside regional councils, auckland, bay of plenty, canterbury, employing others, family tax credit, far north, gisborne, hawkes bay, manawatuwanganui, marlborough, nelson, northland, otago, paye, provisional taxpayer, regional council, rental income, salary and wage earners, self employed, southland, student loan, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/c/e/ce224acd-596b-4212-9415-946216bb58bd/individuals.csv,CSV,,Individuals by region,,,,,,,,,,,,,,,,
Funds withdrawn 2010-2019,Statistics relating to the number of members who made fund withdrawals each financial year for either a first home or financial hardship.,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,https://creativecommons.org/licenses/by/4.0/,"first home or financial hardship, fund withdrawals by year, members, number",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,"Number,  members,  fund withdrawals by year, for first home or financial hardship.",,,,,,,,,,,,,,,,
IDI Data Dictionary - IR tax data,Documents the content of the datasets the Inland Revenue  provides to Statistics New Zealand to use in the Integrated Data Infrastructure (IDI).,http://archive.stats.govt.nz/browse_for_stats/snapshots-of-nz/integrated-data-infrastructure/idi-data.aspx,https://creativecommons.org/licenses/by/4.0/,"data, dictionary, idi, research, tax",,,Inland Revenue,,Stats NZ IDI team,,access2microdata@stats.govt.nz,http://archive.stats.govt.nz/browse_for_stats/snapshots-of-nz/integrated-data-infrastructure/idi-data.aspx,Annual,"Customer, PAYE",04-1999/09-2015,,http://archive.stats.govt.nz/~/media/Statistics/browse-categories/snapshots-of-nz/integrated-data-infrastructure/IDI%20data%20dictionaries/idi-dd-irtax-sep-15.pdf,PDF,,IDI Data Dictionary-IR tax data,,,,,,,,,,,,,,,,
Income distributions of individual customers 2001 - 2018,"Statistics relating to the estimates of the number of individuals in bands of taxable income up to $250,000 (2001-2009), and up to $300,000 (from 2010 onwards).",https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-distrib-individual-customers/income-distrib-individ-customers.html,https://creativecommons.org/licenses/by/4.0/,"income distribution, individuals, tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-distrib-individual-customers/income-distrib-individ-customers.html,Annual,Income distribution of customers,01-2001/12-2018/19,,https://www.classic.ird.govt.nz/resources/d/8/d82aa072-4486-488b-bbf7-0b824f3a9b15/Thousand-dollar-bands-2001-2018-July-2019.xlsx,XLS,,Income distributions of individual customers,,,,,,,,,,,,,,,,
Income of trusts IR6 returns,"The total income of trusts that allocated beneficiary or trustee income. This data was extracted on 25 September 2017. All data is subject to further updates, but the data for 2016 in particular is incomplete.",https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-trusts-ir6-returns/,https://creativecommons.org/licenses/by/4.0/,"assessments, filing, income tax, payments and refunds, trust estate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/income-trusts-ir6-returns/,Annual,Income Tax,01-2001/12-2018,,https://www.classic.ird.govt.nz/resources/6/7/678add59-e287-49b2-8244-a1d348a1fbed/trusts-data-july-2019-csv.csv,CSV,,Income of trusts IR6 returns,https://www.classic.ird.govt.nz/resources/3/9/392fff70-3662-4619-a120-31fe12f222d5/trusts-data-july-2019.xlsx,XLSX,,Income of trusts IR6 returns,,,,,,,,,,,,
Inland Revenue Commissioner's Expenses,Total expenses attributed to Inland Revenue's commissioner,,https://creativecommons.org/licenses/by/4.0/,"corporate data, financial reports and measures",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/expenses/,Annual,"Corporate Data, Financial reports and measures",07-2015/06-2019,,https://www.classic.ird.govt.nz/resources/b/3/b354daad-0283-44b7-9684-89a8b79e902f/commissioners-expenses-july-2015-June-2016.xlsx,XLSX,,Expenses July 2015 to June 2016,https://www.classic.ird.govt.nz/resources/2/4/241989ca-bd8f-47ad-8c1c-35c4ebf8b481/commissioners-expenses-july-2016-june-2017.xlsx,XLSX,,Expenses July 2016 to June 2017,https://www.classic.ird.govt.nz/resources/d/c/dc27fd38-d7e3-4de1-b54a-2e29fcada02c/commissioners-expenses-july-2017-june-2018.xlsx,XLSX,,Expenses July 2017 to June 2018,https://www.classic.ird.govt.nz/resources/b/7/b7ddc35f-0b64-46d7-9169-20034b2df91c/commissioners-expenses-2019-FINAL.xlsx,XLSX,,Expenses July 2018 to June 2019,,,,
Inland Revenue Data Inventory,List of Inland Revenue's publicly available datasets,,https://creativecommons.org/licenses/by/4.0/,"inventory, open data",,,Inland Revenue,,Open Data Enquiry,,open.data2@ird.govt.nz,,Continuously updated,,,,https://raw.githubusercontent.com/akfleenz/inland_revenue/master/IR_inventory.csv,CSV,,IR's inventory file,,,,,,,,,,,,,,,,
IRD number of applications,This report provides information around IRD number applications by individuals and non-individuals. It includes information around the residency status of applicants and their reasons for applying (If this is for the purpose of purchasing property).,,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/reports/releases/,Annual,Customer,06-2015/06-2017,,https://www.classic.ird.govt.nz/resources/8/c/8cb2fd06-3740-4976-b231-a3f92ce9a697/ird-number-applications-jun17.pdf,PDF,,IRD number of applications,,,,,,,,,,,,,,,,
"KiwiSaver members, 2010-2019",Statistics relating to the number of active/provisional KiwiSaver members by enrolment method  2010-19,https://www.kiwisaver.govt.nz/statistics/annual/joining/,https://creativecommons.org/licenses/by/4.0/,"active provisional kiwisaver members, enrolment method, kiwisaver, year",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Annual,Social Policy,06-2010/06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,KiwiSaver membership by enrolment method,,,,,,,,,,,,,,,,
KiwiSaver monthly statistics,The data presented in this section shows selected KiwiSaver statistics for the current financial year.,https://www.kiwisaver.govt.nz/statistics/monthly/,https://creativecommons.org/licenses/by/4.0/,"enrolment, individuals, kiwisaver",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/monthly/,Monthly,,07-2018/07-2019,,https://www.kiwisaver.govt.nz/resources/b/f/bfa2f4804172ce12bc2cfe6fe0111a70/monthly-data.xls,XLS,,KiwiSaver monthly statistics,,,,,,,,,,,,,,,,
KiwiSaver refunds withdrawn by reason 2010-2019,Statistics relating to the dollar amount of fund withdrawals each financial year for both first home and financial hardship withdrawals.,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,https://creativecommons.org/licenses/by/4.0/,"amount of withdrawal, kiwisaver members, number, reasons",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/withdrawals/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Dollar amount of fund withdrawals each financial year for both first home and financial hardship withdrawals.,,,,,,,,,,,,,,,,
KiwiSaver statistics by year,The data presented in this section shows selected KiwiSaver statistics for previous financial years.,https://www.kiwisaver.govt.nz/statistics/annual/,https://creativecommons.org/licenses/by/4.0/,"enrolment, individuals, kiwisaver",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/,Annual,,03-2009/03-2018,,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,KiwiSaver statistics by year,,,,,,,,,,,,,,,,
Net GST by turnover band,"Net total GST by turnover band. The following GST data is based on information from GST returns and is different from the accrual data presented in the ""Tax revenue"" section.",https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/net-gst-by-turnover-band/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, goods  services tax, government department, individuals, maori authority, partnership, payments and refunds, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/net-gst-by-turnover-band/,Annual,Goods & Services Tax,03-2007/03-2019,,https://www.classic.ird.govt.nz/resources/0/0/00c25a3d-a58f-4b56-b171-bc6416e9bb27/net-gst-band-csv-19.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/8/b/8b3a6187-e7ab-4ccd-a635-7d76ad33dd87/net-gst-band-19.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of active and provisional KiwiSaver members by region 2010-2019,Statistics showing the percentage of members in each New Zealand region as at 30 June 2019. Members without a valid NZ postcode are excluded.,https://www.kiwisaver.govt.nz/statistics/annual/joining/,https://creativecommons.org/licenses/by/4.0/,number of active and provisional kiwisaver members by region,,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Number of active and provisional KiwiSaver members by region,,,,,,,,,,,,,,,,
"Number of active or provisional KiwiSaver members, by age group","Statistics relating to the number of active or provisional KiwiSaver members as at the end of each financial year, by age group",https://www.kiwisaver.govt.nz/statistics/annual/joining/,https://creativecommons.org/licenses/by/4.0/,"active or provisional kiwisaver members, age, financial year",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Annual,Social Policy,06-2010/06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,"Number of active or provisional KiwiSaver members, by age",,,,,,,,,,,,,,,,
"Number of active or provisional KiwiSaver members, by gender","Statistics relating to the number of active or provisional KiwiSaver members as at the end of each financial year, by gender",https://www.kiwisaver.govt.nz/statistics/annual/joining/,https://creativecommons.org/licenses/by/4.0/,"gender, number of active or provisional kiwisaver member",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Annual,Social Policy,06-2010/06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,"Number of active or provisional KiwiSaver member, by gender",,,,,,,,,,,,,,,,
Number of child support customers and cash collection,The number of customers claiming child support per annum.,https://www.ird.govt.nz/aboutir/external-stats/social-policy/child-support-cust-and-cash/,https://creativecommons.org/licenses/by/4.0/,"child support, individuals, registration",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/social-policy/child-support-cust-and-cash/,Annual,Child Support,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/f/7/f7b4ec6b-89bf-4274-a147-8d428a480b6d/6.2-+child-support-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/5/c/5cd21169-210b-4895-b72f-eca5a2d6bbc0/6.2-+child-support.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of clients of tax agents by geographic area,List of the number of clients of tax agents by geographic area. Area defined by proximity to district office.,https://www.ird.govt.nz/aboutir/external-stats/tax-agents/clients-by-geo-area/,https://creativecommons.org/licenses/by/4.0/,"customer, customers, registration, tax agents",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/tax-agents/clients-by-geo-area/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/1/7/1762384a-90cf-4bb0-9691-7246c99d28fb/clients_by_location.csv,CSV,,Clients of tax agents by location,,,,,,,,,,,,,,,,
Number of customers by return types,The data includes customers who filed tax returns for a specific tax year regardless of when their return was actually filed.,https://www.ird.govt.nz/aboutir/external-stats/tax-returns/customers-by-returns/,https://creativecommons.org/licenses/by/4.0/,"company, filing, fringe benefit tax, goods and services tax, income tax, individuals, paye, trustestate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/tax-returns/customers-by-returns/,Annual,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",03-2007/03-2017,,https://www.classic.ird.govt.nz/resources/4/8/48a18d16-f08f-4225-921a-df4aa23b58c2/number-of-cust+by-return-types.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/d/2/d26ce924-465a-4293-a1d5-350323481443/number-of-cust-by-return-types.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of GST filers by turnover band,The number of GST filers grouped by turnover band. The GST data only includes GST collected or refunded by Inland Revenue. GST collected on imports by the New Zealand Customs Service is not included.,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/gst-filers-by-turnover-band/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, goods  services tax, government department, individuals, maori authority, partnership, payments and refunds, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/gst-filers-by-turnover-band/,Annual,Goods & Services Tax,03-2007/03-2019,,https://www.classic.ird.govt.nz/resources/5/e/5eb8ecc8-48ef-4b39-b536-cbcc515cc654/gst-filers.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/4/8/48d12aa2-26c6-4845-a5fe-a1ed81756328/num-gst-filers-turnoverband-07-19.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of individuals opted out of KiwiSaver 2010-2019,"Statistics relating to the number of individuals as at the end of each financial year, who have opted out of  KiwiSaver within th provisional period",https://www.kiwisaver.govt.nz/statistics/annual/joining/,https://creativecommons.org/licenses/by/4.0/,"financial year, individuals, kiwisaver, optout, provisional period",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/joining/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Number of KiwiSaver closed account 2010-2019,"Statistics on the number of members at the end of each financial year who have closed their account and  withdrawn their savings due to retirement, permanent emigration, death or serious illness",https://www.kiwisaver.govt.nz/statistics/annual/exiting/,https://creativecommons.org/licenses/by/4.0/,"death, kiwisaver closed account emigration, number, serious illness",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/exiting/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
