title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title,distribution.5.downloadURL,distribution.5.format,distribution.5.size,distribution.5.title,distribution.6.downloadURL,distribution.6.format,distribution.6.size,distribution.6.title
Income distributions of individual customers 2001 to 2018,"Statistics relating to the estimates of the number of individuals in bands of taxable income up to $250,000 (2001-2009), and up to $300,000 (from 2010 onwards).",https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/income-distribution,https://creativecommons.org/licenses/by/4.0/,"income distribution, individuals, tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/income-distribution,Annual,Income distribution of customers,01-2001/12-2018/19,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Income-distributions-of-individual-customers-2001-to-2018/Thousand-dollar-bands-2001-2018-July-2019.xlsx,XLS,,Income distributions of individual customers (XLSX),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Income-distributions-of-individual-customers-2001-to-2018/Thousand-dollar-bands-2001-2018-July-2019-csv.csv,CSV,,Income distributions of individual customers (CSV),,,,,,,,,,,,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Donation-tax-credit-2004-to-2018/claimed-through-payroll-giving-11-19-csv.csv,CSV,,Tax credits claimed through payroll giving via employers (CSV),,,,
Income of trusts IR6 returns,"The total income of trusts that allocated beneficiary or trustee income. This data was extracted on 25 September 2017. All data is subject to further updates, but the data for 2016 in particular is incomplete.",https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/trusts-ir6,https://creativecommons.org/licenses/by/4.0/,"assessments, filing, income tax, payments and refunds, trust estate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/trusts-ir6,Annual,Income Tax,01-2001/12-2018,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Income-of-trusts-IR6-returns-2001-to-2018/trusts-data-july-2019-csv.csv,CSV,,Income of trusts IR6 returns,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Income-of-trusts-IR6-returns-2001-to-2018/trusts-data-july-2019.xlsx,XLSX,,Income of trusts IR6 returns,,,,,,,,,,,,,,,,,,,,
Inland Revenue Commissioner's Expenses,Total expenses attributed to Inland Revenue's commissioner,https://www.ird.govt.nz/about-us/publications/annual-corporate-reports/commissioners-expenses,https://creativecommons.org/licenses/by/4.0/,"corporate data, financial reports and measures",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/publications/annual-corporate-reports/commissioners-expenses,Annual,"Corporate Data, Financial reports and measures",07-2015/06-2019,,https://www.classic.ird.govt.nz/resources/b/3/b354daad-0283-44b7-9684-89a8b79e902f/commissioners-expenses-july-2015-June-2016.xlsx,XLSX,,Expenses July 2015 to June 2016,https://www.classic.ird.govt.nz/resources/2/4/241989ca-bd8f-47ad-8c1c-35c4ebf8b481/commissioners-expenses-july-2016-june-2017.xlsx,XLSX,,Expenses July 2016 to June 2017,https://www.classic.ird.govt.nz/resources/d/c/dc27fd38-d7e3-4de1-b54a-2e29fcada02c/commissioners-expenses-july-2017-june-2018.xlsx,XLSX,,Expenses July 2017 to June 2018,https://www.classic.ird.govt.nz/resources/b/7/b7ddc35f-0b64-46d7-9169-20034b2df91c/commissioners-expenses-2019-FINAL.xlsx,XLSX,,Expenses July 2018 to June 2019,,,,,,,,,,,,
KiwiSaver contributions - statistics,Statistics relating to KiwiSaver contributions,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/contributions,https://creativecommons.org/licenses/by/4.0/,"kiwisaver, contributions, savings, scheme providers",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/contributions,Annual,Social Policy,,,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/contributions/savings-suspensions,HTML,,Statistics on KiwiSaver members on savings suspensions,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/contributions/scheme-providers-payments,HTML,,Statistics on payments to scheme providers,,,,,,,,,,,,,,,,,,,,
KiwiSaver schemes - statistics,Statistics relating to KiwiSaver scheme membership,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/schemes,https://creativecommons.org/licenses/by/4.0/,"kiwisaver, scheme, membership",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/schemes,Annual,Social Policy,,,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/schemes/entry-method,HTML,,Number of active/provisional KiwiSaver members by scheme entry method each month ,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/schemes/transfer,HTML,,Number of scheme transfers during each month,,,,,,,,,,,,,,,,,,,,
KiwiSaver statistics by month,The data presented in this section shows selected KiwiSaver statistics for the current financial year.,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/datasets,https://creativecommons.org/licenses/by/4.0/,"enrolment, individuals, kiwisaver",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/datasets,Monthly,,03-2019/03-2020,,https://www.ird.govt.nz/-/media/Files/Statistics/KiwiSaver-statistics/monthly-data-march-2020.xlsx,XLS,,Monthly KiwiSaver statistics - March 2020,,,,,,,,,,,,,,,,,,,,,,,,
KiwiSaver statistics by year,The data presented in this section shows selected KiwiSaver statistics for previous financial years.,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/datasets,https://creativecommons.org/licenses/by/4.0/,"enrolment, individuals, kiwisaver",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/datasets,Annual,Social Policy,06-2010/06-2019,,https://www.ird.govt.nz/-/media/Files/Statistics/KiwiSaver-statistics/Annual-KiwiSaver-statistics.xls,XLS,,Annual KiwiSaver statistics,,,,,,,,,,,,,,,,,,,,,,,,
Members joining KiwiSaver - statistics,Statistics relating to members joining KiwiSaver,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/joining,https://creativecommons.org/licenses/by/4.0/,"kiwisaver, membership",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/joining,Annual,Social Policy,06-2010/03-2020,,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/joining/enrolment-method-opt-out-rates,HTML,,KiwiSaver enrolment methods and opt out rates,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/joining/member-demographics,HTML,,KiwiSaver member demographics,,,,,,,,,,,,,,,,,,,,
Net GST by turnover band,"Net total GST by turnover band. The following GST data is based on information from GST returns and is different from the accrual data presented in the ""Tax revenue"" section.",https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/net-gst-turnover-band,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, goods  services tax, government department, individuals, maori authority, partnership, payments and refunds, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/net-gst-turnover-band,Annual,Goods & Services Tax,03-2007/03-2019,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Net-GST-by-turnover-band/net-gst-band-19.xlsx,CSV,,Net GST by turnover band (CSV),https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Net-GST-by-turnover-band/net-gst-band-19.xlsx,XLSX,,Net GST by turnover band (XLSX),,,,,,,,,,,,,,,,,,,,
Number of child support customers and cash collection,The number of customers claiming child support per annum.,https://www.ird.govt.nz/about-us/tax-statistics/social-policy/child-support-customers-collection,https://creativecommons.org/licenses/by/4.0/,"child support, individuals, registration",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/social-policy/child-support-customers-collection,Annual,Child Support,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Social-policy/Child-support-customers-and-cash-collection/62childsupportcsv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Social-policy/Child-support-customers-and-cash-collection/62childsupport.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of clients of tax agents by geographic area,List of the number of clients of tax agents by geographic area. Area defined by proximity to district office.,https://www.ird.govt.nz/about-us/archived-statistics/tax-agents/clients-geographic-area,https://creativecommons.org/licenses/by/4.0/,"customer, customers, registration, tax agents",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/tax-agents/clients-geographic-area,Annual,Customer,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-agents/Number-of-clients-of-tax-agents-by-geographic-area-2008-to-2017-csv.csv,CSV,,Clients of tax agents by location,,,,,,,,,,,,,,,,,,,,,,,,
Number of customers by return types,The data includes customers who filed tax returns for a specific tax year regardless of when their return was actually filed.,https://www.ird.govt.nz/about-us/archived-statistics/tax-returns/customers-return-types,https://creativecommons.org/licenses/by/4.0/,"company, filing, fringe benefit tax, goods and services tax, income tax, individuals, paye, trustestate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/tax-returns/customers-return-types,Annual,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",03-2007/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-Returns/Number-of-customers-by-return-types-2007---2016-csv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-Returns/Number-of-customers-by-return-types-2007---2016-xls.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of GST filers by turnover band,The number of GST filers grouped by turnover band. The GST data only includes GST collected or refunded by Inland Revenue. GST collected on imports by the New Zealand Customs Service is not included.,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/number-gst-filers-turnover-band,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, goods  services tax, government department, individuals, maori authority, partnership, payments and refunds, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/number-gst-filers-turnover-band,Annual,Goods & Services Tax,03-2007/03-2019,,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Number-of-GST-filers-by-turnover-band/num-gst-filers-turnoverband-07-19-csv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Revenue-and-refunds/Number-of-GST-filers-by-turnover-band/num-gst-filers-turnoverband-07-19.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of GST filers by turnover band 2007 to 2019,"Turnover is calculated from GST returns as the sum of gross sales in the year ended 31 March. For a two-monthly filer, this would mean the sum of gross sales on six successive GST returns, with the last return being for the period ending 31 March. The GST data only include GST collected or refunded by Inland Revenue. GST collected on imports by the New Zealand Customs Service is not included.",https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/number-gst-filers-turnover-band,https://creativecommons.org/licenses/by/4.0/,"gst filers, turnover band",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/revenue-refunds/number-gst-filers-turnover-band,Annual,Goods & Services Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of KiwiSaver closed account 2010-2019,"Statistics on the number of members at the end of each financial year who have closed their account and  withdrawn their savings due to retirement, permanent emigration, death or serious illness",https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/exiting,https://creativecommons.org/licenses/by/4.0/,"death, kiwisaver closed account emigration, number, serious illness",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/exiting,Annual,Social Policy,06-2010/03-2020,,https://www.ird.govt.nz/about-us/tax-statistics/kiwisaver/exiting,HTML,,Number of KiwiSaver closed accounts each month ,,,,,,,,,,,,,,,,,,,,,,,,
Number of people convicted under the Tax Administration Act,The number of people convicted under the Tax Administration Act 1994 in each calendar year. A person may have more than one prosecution in each year.,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/people-convicted,https://creativecommons.org/licenses/by/4.0/,"audit, individuals, litigation, penalties, prosecution",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/people-convicted,Annual,Audit,03-2007/03-2016,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/117no-people-convicted.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/117no-people-convicted.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of returns filed 2007-2016,The number of returns filed and processed during the tax year regardless of their return period.,https://www.ird.govt.nz/about-us/archived-statistics/tax-returns/returns-filed,https://creativecommons.org/licenses/by/4.0/,"company, filing, fringe benefit tax, goods and services tax, income tax, individuals, paye, trustestate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/tax-returns/returns-filed,Annual,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",03-2007/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-Returns/Returns-filed-2007-to-2016-csv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-Returns/Returns-filed-2007-to-2016-xls.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of tax agents by geographic area,The number of tax agents in a given geographic loction. A tax agent is a person who prepares the annual returns of income for ten or more taxpayers.,https://www.ird.govt.nz/about-us/archived-statistics/tax-agents/agents-geographic-area,https://creativecommons.org/licenses/by/4.0/,"customer, registration, tax agents",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/tax-agents/agents-geographic-area,Annual,Customer,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-agents/Number-of-tax-agents-by-geographic-area-2008-to-2017-csv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-agents/Number-of-tax-agents-by-geographic-area-2008-to-2017-xlsx.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Number of tax convictions,The total number of tax convictions under the Tax Administration Act 1994 in each calendar year.,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/tax-convictions,https://creativecommons.org/licenses/by/4.0/,"audit, individuals, litigation, penalties, prosecution",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/tax-convictions,Annual,Audit,03-2007/03-2016,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/116no-convictions.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/116no-convictions.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
Outcome of cases decided by Disputes Review Unit,The outcomes of adjudication cases decided by the Disputes Review Unit. All cases are split into five categories depending on the degree to which the position of the Commissioner of Inland Revenue (CIR) was upheld.,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/disputes-outcomes,https://creativecommons.org/licenses/by/4.0/,"assessment, audit, clubsociety, company, diplomatic mission, government department, individuals, litigation, maori authority, partnership, payments and refunds, penalties, prosecution, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/about-us/archived-statistics/audit-legal-issues-data/disputes-outcomes,Annual,Audit,03-2008/03-2017,,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/Adjdecnstats20082017csv.csv,CSV,,Data in CSV format,https://www.ird.govt.nz/-/media/Files/Statistics/Tax-data---audit-and-legal-issues/Adjdecnstats20082017.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,,,,,
